property_id,source,title,description_en,description_st,price,currency,district,location_text,property_type,bedrooms,bathrooms,image_paths,listing_url,condition,style,environment,amenities,listing_intent,image_count,country,district_canonical,district_resolution,locality,use_bucket,cnn_property_type,cnn_bedroom_class,split,cnn_exclusion_reasons,is_residential_curated,is_cnn_candidate,reviewed_price,reviewed_listing_intent,reviewer_notes,include_in_reviewed_training
propmarket-5NttMN-sRvwuo2K4rDYMW,propmarket,"3 Bedrooms, House",This is 8 roomed house at Naleli with a lease.. 618sqm with just 650k.,"Thepa ena ya mofuta wa house e fumaneha Naleli, Berea. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 650,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",650000,LSL,Berea,"Naleli, Berea",House,3,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5NttMN-sRvwuo2K4rDYMW\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5NttMN-sRvwuo2K4rDYMW\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5NttMN-sRvwuo2K4rDYMW\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5NttMN-sRvwuo2K4rDYMW\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5NttMN-sRvwuo2K4rDYMW\\\\image_5.jpg\""]""",https://www.propmarket.co.ls/properties/5NttMN-sRvwuo2K4rDYMW,Good,Traditional,Suburban,"""[]""",sale,5,Lesotho,Berea,text_match,Naleli,residential,House,3,train,,True,True,,,,True
propmarket-8GL2YSoWJfkJYfbOYKDl1,propmarket,"2 Bedrooms, House","Ntlo ena e Nazareth Ha Phaloane, with a Form C.. motlakase o teng ka 200k fela..","Thepa ena ya mofuta wa house e fumaneha Ha Phaloane, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 200,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",200000,LSL,Maseru,"Ha Phaloane, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-8GL2YSoWJfkJYfbOYKDl1\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-8GL2YSoWJfkJYfbOYKDl1\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-8GL2YSoWJfkJYfbOYKDl1\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-8GL2YSoWJfkJYfbOYKDl1\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/8GL2YSoWJfkJYfbOYKDl1,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Maseru,text_match,Ha Phaloane,residential,House,2,train,,True,True,,,,True
propmarket-T7DEuA--o2VWCXfCg3FE2,propmarket,"1 Bedroom, House",This is a 2 roomed house Koalabata e pela Sekamaneng ka 150k and negotiable..Form C e teng.. metsi le motlakase li pela jarete..,"Thepa ena ya mofuta wa house e fumaneha Koalabata, Berea. E na le dikamore tse 1 le dibate tse 1 mme e fumaneha ka theko ya M 150,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",150000,LSL,Berea,"Koalabata, Berea",House,1,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-T7DEuA--o2VWCXfCg3FE2\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-T7DEuA--o2VWCXfCg3FE2\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-T7DEuA--o2VWCXfCg3FE2\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-T7DEuA--o2VWCXfCg3FE2\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/T7DEuA--o2VWCXfCg3FE2,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Berea,text_match,Koalabata,residential,House,1,train,,True,True,,,,True
propmarket-iTxYHd19YkRxk68-z4Gg1,propmarket,"5 Bedrooms, House","This beautiful house is at Masowe 3, it has 5 bedrooms and fully fitted at 2.5m","Thepa ena ya mofuta wa house e fumaneha Masowe Iii, Maseru. E na le dikamore tse 5 le dibate tse 3 mme e fumaneha ka theko ya M 2,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",2500000,LSL,Maseru,"Masowe Iii, Maseru",House,5,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-iTxYHd19YkRxk68-z4Gg1\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-iTxYHd19YkRxk68-z4Gg1\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-iTxYHd19YkRxk68-z4Gg1\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-iTxYHd19YkRxk68-z4Gg1\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/iTxYHd19YkRxk68-z4Gg1,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Maseru,text_match,Masowe Iii,residential,House,5+,train,,True,True,,,,True
propmarket-bth9PHwYL2oRa7FORo96t,propmarket,"4 Bedrooms, House","Double storey in Lower Thetsane \n\nSpacious kitchen fitted fully.\n\nTwo lounges.\n\n2 Master Bedrooms with ensuite 1 in ground floor, 1 in first floor.\n\nTwo other bedrooms with shared bathroom and shower.\n\nStudy room,\n\nAll windows and doors fitted with security.\n\nElectrified fence, 1 sliding gate and 1 swing gate all motorized.\n\nPedestrian gate with mag lock. 4 balconies.\n\nWater back up, electricity-back up.\n\nGuard house, beautiful landscape, Underground heater.\n","Thepa ena ya mofuta wa house e fumaneha Lower Thetsane, Maseru. E na le dikamore tse 4 le dibate tse 4 mme e fumaneha ka theko ya M 7,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",7500000,LSL,Maseru,"Lower Thetsane, Maseru",House,4,4,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bth9PHwYL2oRa7FORo96t\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bth9PHwYL2oRa7FORo96t\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bth9PHwYL2oRa7FORo96t\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bth9PHwYL2oRa7FORo96t\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bth9PHwYL2oRa7FORo96t\\\\image_5.jpg\""]""",https://www.propmarket.co.ls/properties/bth9PHwYL2oRa7FORo96t,Good,Family,Urban,"""[\""water connection\"", \""electricity\"", \""security\"", \""shower\""]""",sale,5,Lesotho,Maseru,text_match,Lower Thetsane,residential,House,4,train,,True,True,,,,True
propmarket-N8hWF5lZHzYQi0zfdtLMd,propmarket,"4 Bedrooms, House",Semi-finished house \n6 room\n5 minutes walk from tar road,"Thepa ena ya mofuta wa house e fumaneha Ha Makhalanyane, Quthing. E na le dikamore tse 4 le dibate tse 1 mme e fumaneha ka theko ya M 300,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",300000,LSL,Quthing,"Ha Makhalanyane, Quthing",House,4,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-N8hWF5lZHzYQi0zfdtLMd\\\\image_1.jpg\""]""",https://www.propmarket.co.ls/properties/N8hWF5lZHzYQi0zfdtLMd,Good,Traditional,Urban,"""[\""road access\"", \""tar road\""]""",sale,1,Lesotho,Quthing,text_match,Ha Makhalanyane,residential,House,4,train,,True,True,,,,True
propmarket-RAORp0t2ifmx-wUA_bz7j,propmarket,"4 Bedrooms, House",4 bedroom house in Masowe 1\nM10 000.00 per month\nM10 000.00 Deposit,"Thepa ena ya mofuta wa house e fumaneha Masowe 1b Secondary School, Maseru. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 10,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",10000,LSL,Maseru,"Masowe 1b Secondary School, Maseru",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-RAORp0t2ifmx-wUA_bz7j\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-RAORp0t2ifmx-wUA_bz7j\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-RAORp0t2ifmx-wUA_bz7j\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-RAORp0t2ifmx-wUA_bz7j\\\\image_4.png\""]""",https://www.propmarket.co.ls/properties/RAORp0t2ifmx-wUA_bz7j,Good,Traditional,Urban,"""[\""near schools\"", \""road access\""]""",rent,4,Lesotho,Maseru,text_match,Masowe 1b Secondary School,residential,House,4,test,,True,True,,,,True
propmarket-OjeCEvzbGRz8FYBJXcoRc,propmarket,"3 Bedrooms, House",This beautiful 3bedroomed house is located at Ha-Thetsane Lesia and it is fully fitted..valuation report ke 1900000 and selling price is 1150000.,"Thepa ena ya mofuta wa house e fumaneha Lower Thetsane, Maseru. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 1,150,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1150000,LSL,Maseru,"Lower Thetsane, Maseru",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OjeCEvzbGRz8FYBJXcoRc\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OjeCEvzbGRz8FYBJXcoRc\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OjeCEvzbGRz8FYBJXcoRc\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OjeCEvzbGRz8FYBJXcoRc\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/OjeCEvzbGRz8FYBJXcoRc,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Maseru,text_match,Lower Thetsane,residential,House,3,train,,True,True,,,,True
propmarket-WUMcplI44uaZO1iSoAQ4S,propmarket,"1 Bedroom, House","This beautiful house is at Ha-Leqele pela Moreneng Ha Khechane, the plot size is 783 sqm with the available lease..at just 380k.","Thepa ena ya mofuta wa house e fumaneha Ha Leqele, Maseru. E na le dikamore tse 1 le dibate tse 1 mme e fumaneha ka theko ya M 380,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",380000,LSL,Maseru,"Ha Leqele, Maseru",House,1,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-WUMcplI44uaZO1iSoAQ4S\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-WUMcplI44uaZO1iSoAQ4S\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-WUMcplI44uaZO1iSoAQ4S\\\\image_3.png\""]""",https://www.propmarket.co.ls/properties/WUMcplI44uaZO1iSoAQ4S,Good,Traditional,Suburban,"""[]""",sale,3,Lesotho,Maseru,text_match,Ha Leqele,residential,House,1,train,,True,True,,,,True
propmarket-TGGtwzXu1PaT221Z8WCKM,propmarket,"4 Bedrooms, House","This is a four bedroom house at Semphetenyane not far from the main road..It is fully fitted, selling price 1.5m but highly negotiable with cash..For cash you can pay 800k and see the balance later on..","Thepa ena ya mofuta wa house e fumaneha Semphetenyane, Maseru. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 1,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1500000,LSL,Maseru,"Semphetenyane, Maseru",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-TGGtwzXu1PaT221Z8WCKM\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-TGGtwzXu1PaT221Z8WCKM\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-TGGtwzXu1PaT221Z8WCKM\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-TGGtwzXu1PaT221Z8WCKM\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/TGGtwzXu1PaT221Z8WCKM,Good,Traditional,Suburban,"""[\""road access\""]""",sale,4,Lesotho,Maseru,text_match,Semphetenyane,residential,House,4,train,,True,True,,,,True
propmarket-op0asF1YrwW5Iphyt5FK6,propmarket,"3 Bedrooms, House",Three bedroomed house for sale at Lower Thamae selling with 2 roomed house. At 844k,"Thepa ena ya mofuta wa house e fumaneha Lower Thamae, Maseru. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 844,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",844000,LSL,Maseru,"Lower Thamae, Maseru",House,3,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-op0asF1YrwW5Iphyt5FK6\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-op0asF1YrwW5Iphyt5FK6\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-op0asF1YrwW5Iphyt5FK6\\\\image_3.jpg\""]""",https://www.propmarket.co.ls/properties/op0asF1YrwW5Iphyt5FK6,Good,Traditional,Suburban,"""[]""",sale,3,Lesotho,Maseru,text_match,Lower Thamae,residential,House,3,val,,True,True,,,,True
propmarket-1gpWZhyNaDKwyXXVRS0MZ,propmarket,"3 Bedrooms, House","We have a beautiful house at Tshenola, a 3 bedroomed house with a kitchen, dining room ,lounge, bathroom, lease e teng.. e boetse ena le 2room kathoko and a double garage...at just 1m and negotiable..","Thepa ena ya mofuta wa house e fumaneha Motse Mocha Ts'enola, Maseru. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 1,000,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1000000,LSL,Maseru,"Motse Mocha Ts'enola, Maseru",House,3,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-1gpWZhyNaDKwyXXVRS0MZ\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-1gpWZhyNaDKwyXXVRS0MZ\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-1gpWZhyNaDKwyXXVRS0MZ\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-1gpWZhyNaDKwyXXVRS0MZ\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-1gpWZhyNaDKwyXXVRS0MZ\\\\image_5.jpg\""]""",https://www.propmarket.co.ls/properties/1gpWZhyNaDKwyXXVRS0MZ,Good,Traditional,Suburban,"""[\""garage\""]""",sale,5,Lesotho,Maseru,text_match,Motse Mocha Ts'enola,residential,House,3,train,,True,True,,,,True
propmarket-Gxks2QBu3POkSKy6LSrVn,propmarket,"2 Bedrooms, House",It's a wonderful achievement to have a HOME...\n\nLET'S HELP YOU FIND YOURS,"Thepa ena ya mofuta wa house e fumaneha Mazenod, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 790,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",790000,LSL,Maseru,"Mazenod, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-Gxks2QBu3POkSKy6LSrVn\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-Gxks2QBu3POkSKy6LSrVn\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-Gxks2QBu3POkSKy6LSrVn\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-Gxks2QBu3POkSKy6LSrVn\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-Gxks2QBu3POkSKy6LSrVn\\\\image_5.png\""]""",https://www.propmarket.co.ls/properties/Gxks2QBu3POkSKy6LSrVn,Good,Traditional,Suburban,"""[]""",sale,5,Lesotho,Maseru,text_match,Mazenod,residential,House,2,train,,True,True,,,,True
propmarket-862McOr-9ckYlIzwbWrUX,propmarket,"6 Units, Malaene","Malaena ana a 6, a Semphetenyane, ke 250k, a ntsa luloa, ho pataloa 400","Thepa ena ya mofuta wa house e fumaneha Semphetenyane, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 250,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",250000,LSL,Maseru,"Semphetenyane, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-862McOr-9ckYlIzwbWrUX\\\\image_1.jpg\""]""",https://www.propmarket.co.ls/properties/862McOr-9ckYlIzwbWrUX,Good,Traditional,Suburban,"""[]""",sale,1,Lesotho,Maseru,text_match,Semphetenyane,residential,House,2,train,,True,False,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",False
propmarket-5zvnXL81fkjHImUjJGCx8,propmarket,"13 Units, Cottages",We have this 13 room single cottages at Ha-Tsolo pela Ha -Lekhooa..they have 2 outside cottages.. just at 700k,"Thepa ena ya mofuta wa cottage e fumaneha Ha Tsolo, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 700,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",700000,LSL,Maseru,"Ha Tsolo, Maseru",Cottage,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5zvnXL81fkjHImUjJGCx8\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-5zvnXL81fkjHImUjJGCx8\\\\image_2.jpg\""]""",https://www.propmarket.co.ls/properties/5zvnXL81fkjHImUjJGCx8,Good,Traditional,Suburban,"""[]""",sale,2,Lesotho,Maseru,text_match,Ha Tsolo,residential,House,2,train,,True,False,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",False
propmarket-bH8pKVrhThHrUZ_5URuQ-,propmarket,"3 Bedrooms, House",A 6 roomed house at Tshenola at 400k.. 800sqm,"Thepa ena ya mofuta wa house e fumaneha Sekoting Ts'enola, Maseru. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 400,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",400000,LSL,Maseru,"Sekoting Ts'enola, Maseru",House,3,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bH8pKVrhThHrUZ_5URuQ-\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bH8pKVrhThHrUZ_5URuQ-\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bH8pKVrhThHrUZ_5URuQ-\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-bH8pKVrhThHrUZ_5URuQ-\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/bH8pKVrhThHrUZ_5URuQ-,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Maseru,text_match,Sekoting Ts'enola,residential,House,3,train,,True,True,,,,True
propmarket-G4ZhE5jlCc4y-iw0Kl3d5,propmarket,House,5 roomed house at Ha TShosane at 160k with a lease.,"Thepa ena ya mofuta wa house e fumaneha Ha Ts'osane, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 160,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",160000,LSL,Maseru,"Ha Ts'osane, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-G4ZhE5jlCc4y-iw0Kl3d5\\\\image_5.jpg\""]""",https://www.propmarket.co.ls/properties/G4ZhE5jlCc4y-iw0Kl3d5,Good,Traditional,Suburban,"""[]""",sale,5,Lesotho,Maseru,text_match,Ha Ts'osane,residential,House,2,train,,True,True,,,,True
